cluster_representative,structure_id,cluster_size,cluster_rank,is_singleton,is_representative,cluster_percentage_of_dataset,cluster_size_percentile,in_top_10_clusters,in_top_20_clusters,in_top_50_clusters,cumulative_coverage_at_rank,dataset_shannon_entropy,dataset_max_shannon_entropy,dataset_normalized_shannon,dataset_simpson_index,dataset_inverse_simpson,dataset_effective_n_clusters,dataset_evenness,dataset_total_structures,dataset_total_clusters,dataset_singleton_clusters,dataset_largest_cluster_size,dataset_mean_cluster_size,dataset_median_cluster_size,dataset_redundancy_pct,dataset
2_RFD_control_316_dldesign_0_af2pred,2_RFD_control_316_dldesign_0_af2pred,1,45,True,True,0.684931506849315,13.013698630136986,False,False,True,84.24657534246575,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_3385_dldesign_0_af2pred,2_RFD_control_3385_dldesign_0_af2pred,2,16,False,True,1.36986301369863,31.164383561643838,False,True,True,65.06849315068493,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_3385_dldesign_0_af2pred,2_RFD_control_300_dldesign_0_af2pred,2,16,False,False,1.36986301369863,31.164383561643838,False,True,True,65.06849315068493,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_4221_dldesign_0_af2pred,2_RFD_control_4221_dldesign_0_af2pred,1,46,True,True,0.684931506849315,13.013698630136986,False,False,True,75.34246575342466,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_4263_dldesign_0_af2pred,2_RFD_control_4263_dldesign_0_af2pred,1,47,True,True,0.684931506849315,13.013698630136986,False,False,True,80.82191780821918,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_4408_dldesign_0_af2pred,2_RFD_control_4408_dldesign_0_af2pred,2,17,False,True,1.36986301369863,31.164383561643838,False,True,True,73.28767123287672,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_4408_dldesign_0_af2pred,2_RFD_control_1203_dldesign_0_af2pred,2,17,False,False,1.36986301369863,31.164383561643838,False,True,True,73.28767123287672,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_4685_dldesign_0_af2pred,2_RFD_control_4685_dldesign_0_af2pred,1,48,True,True,0.684931506849315,13.013698630136986,False,False,True,82.87671232876713,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_4975_dldesign_0_af2pred,2_RFD_control_4975_dldesign_0_af2pred,1,49,True,True,0.684931506849315,13.013698630136986,False,False,True,82.1917808219178,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_5138_dldesign_0_af2pred,2_RFD_control_5138_dldesign_0_af2pred,1,50,True,True,0.684931506849315,13.013698630136986,False,False,True,80.13698630136986,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_5555_dldesign_0_af2pred,2_RFD_control_5555_dldesign_0_af2pred,1,51,True,True,0.684931506849315,13.013698630136986,False,False,False,76.02739726027397,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_5578_dldesign_0_af2pred,2_RFD_control_5578_dldesign_0_af2pred,1,52,True,True,0.684931506849315,13.013698630136986,False,False,False,78.76712328767124,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_5709_dldesign_0_af2pred,2_RFD_control_5709_dldesign_0_af2pred,1,53,True,True,0.684931506849315,13.013698630136986,False,False,False,76.71232876712328,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
2_RFD_control_675_dldesign_0_af2pred,2_RFD_control_675_dldesign_0_af2pred,1,54,True,True,0.684931506849315,13.013698630136986,False,False,False,100.0,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_1107_dldesign_0_af2pred,1_RFD_control_1107_dldesign_0_af2pred,1,18,True,True,0.684931506849315,13.013698630136986,False,True,True,86.3013698630137,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_11_dldesign_0_af2pred,1_RFD_control_11_dldesign_0_af2pred,1,19,True,True,0.684931506849315,13.013698630136986,False,True,True,99.31506849315069,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_153_dldesign_0_af2pred,1_RFD_control_153_dldesign_0_af2pred,2,10,False,True,1.36986301369863,31.164383561643838,True,True,True,71.91780821917808,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_153_dldesign_0_af2pred,1_RFD_control_701_dldesign_0_af2pred,2,10,False,False,1.36986301369863,31.164383561643838,True,True,True,71.91780821917808,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_1723_dldesign_0_af2pred,1_RFD_control_1723_dldesign_0_af2pred,1,20,True,True,0.684931506849315,13.013698630136986,False,True,True,88.35616438356165,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_1776_dldesign_0_af2pred,1_RFD_control_1776_dldesign_0_af2pred,2,11,False,True,1.36986301369863,31.164383561643838,False,True,True,74.65753424657534,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
1_RFD_control_1776_dldesign_0_af2pred,1_RFD_control_3021_dldesign_0_af2pred,2,11,False,False,1.36986301369863,31.164383561643838,False,True,True,74.65753424657534,4.481660487828152,5.754887502163468,0.7787572713008439,0.10658660161381125,9.382042253521124,9.382042253521124,0.7787572713008439,146,54,37,38,2.7037037037037037,1.0,63.01369863013699,nonseed_control
